Time,P_load3,P_load4,const_0V,delta1,delta2,delta3,delta4,factor1,factor2,factor3,factor4,sigma1,sigma2,sigma3,sigma4
0.0,0.002405615,0.001470793,0.0,23.601076,65.77035,29.522863,15.488599,15.1200285,0.0,12.461611,0.0,38.721104,65.77035,41.984474,15.488599
0.0002,0.046212155,0.025909051,0.0,55.58307,184.52864,75.01262,75.54967,69.664154,0.0,59.372864,0.0,125.24722,184.52864,134.38548,75.54967
0.0004,0.2616754,0.14014357,0.0,35.17697,242.06189,80.183846,181.31952,171.13234,0.0,136.92632,0.0,206.30931,242.06189,217.11015,181.31952
0.0006,0.8684342,0.4737223,0.0,35.14473,243.96877,62.60935,304.5904,235.68149,0.0,215.50453,0.0,270.8262,243.96877,278.1139,304.5904
0.0008,2.1302416,1.2345364,0.0,115.63791,255.4118,67.273254,413.5305,218.21248,0.0,268.3535,0.0,333.85037,255.4118,335.62674,413.5305
0.001,4.3567977,2.70942,0.0,185.05353,297.26398,103.17011,497.6936,214.61264,0.0,292.85944,0.0,399.66617,297.26398,396.02954,497.6936
0.0012,7.943398,5.250494,0.0,249.08102,340.02048,146.09494,563.2494,207.68451,0.0,301.49063,0.0,456.76553,340.02048,447.58554,563.2494
0.0014,13.360002,9.261624,0.0,314.0772,359.91946,177.50935,615.4337,181.95001,0.0,303.26178,0.0,496.02722,359.91946,480.77115,615.4337
0.0016,21.092882,15.189394,0.0,373.46735,364.11282,199.9118,652.52875,146.29471,0.0,298.6904,0.0,519.7621,364.11282,498.6022,652.52875
0.0018,31.613676,23.510046,0.0,417.75232,368.77878,221.94418,671.9769,128.57245,2.7881737,286.441,0.0,546.32477,371.56696,508.3852,671.9769
0.002,45.391117,34.70911,0.0,445.77173,376.3743,244.11246,675.3619,119.9858,14.36301,268.1601,0.0,565.7575,390.7373,512.2725,675.3619
0.0022,62.89095,49.260654,0.0,462.75436,379.04123,261.25357,666.5954,110.0175,22.587978,246.82628,0.0,572.77185,401.6292,508.07986,666.5954
0.0024,84.54028,67.610664,0.0,472.44864,372.69394,271.04083,648.3109,99.321815,32.422607,223.85619,0.0,571.77045,405.11655,494.89703,648.3109
0.0026,110.67861,90.16071,0.0,495.55322,315.7775,253.08975,619.7603,87.12072,83.98906,197.51582,0.0,582.67395,399.76657,450.60556,619.7603
0.0028,141.2115,117.24472,0.0,526.21533,214.26543,218.43181,561.4303,65.12177,169.73463,149.52878,0.0,591.3371,384.00006,367.9606,561.4303
0.003,174.97812,149.02522,0.0,504.6682,168.82495,232.74854,433.56604,18.32005,187.00612,47.262184,0.0,522.9883,355.8311,280.0107,433.56604
0.0032,211.52347,184.83298,0.0,431.7193,165.6877,263.6729,277.18533,31.826742,145.37608,0.0,77.080635,399.89258,311.06378,263.6729,354.26596
0.0034,250.86922,223.4333,0.0,344.79602,139.18993,252.29062,146.78178,61.243073,110.830376,0.0,140.88367,283.55295,250.0203,252.29062,287.66547
0.0036,292.61548,264.0092,0.0,260.42474,79.66828,198.40149,47.973705,71.17504,99.683556,0.0,162.16183,189.2497,179.35184,198.40149,210.13553
0.0038,335.838,305.97968,0.0,172.83376,21.830498,135.38907,34.66162,72.55889,85.476135,0.0,95.465416,100.27486,107.30663,135.38907,130.12703
0.004,379.52362,348.79077,0.0,79.68451,14.359103,84.00292,111.56488,24.919823,24.886065,0.0,0.0,54.76469,39.245167,84.00292,111.56488
0.0042,422.8781,391.82574,0.0,9.599585,40.519306,40.972492,183.14482,98.317986,0.0,72.52604,0.0,107.917564,40.519306,113.498535,183.14482
0.0044,465.25867,434.39743,0.0,86.65628,72.45424,2.5310872,247.34651,73.644104,7.49319,155.50148,0.0,160.30038,79.947426,158.03256,247.34651
0.0046,506.0094,475.787,0.0,153.42256,109.81976,47.146404,304.9329,73.35083,22.620617,155.34235,0.0,226.7734,132.44038,202.48875,304.9329
0.0048,544.4513,515.27924,0.0,217.11046,143.56082,89.022575,357.91412,72.47785,38.278557,153.94025,0.0,289.58832,181.83937,242.96281,357.91412
0.005,579.96344,552.18524,0.0,281.5673,170.2666,127.578186,406.77533,70.513435,59.037987,150.17273,0.0,352.08075,229.30458,277.75092,406.77533
0.0052,612.001,585.8659,0.0,345.7458,193.58766,165.5221,450.8806,66.92104,81.853966,142.86748,0.0,412.66684,275.44162,308.38956,450.8806
0.0054,640.04913,615.7521,0.0,407.66058,216.78165,204.27399,490.2602,61.857376,103.37967,132.36922,0.0,469.51797,320.16132,336.64322,490.2602
0.0056,663.60864,641.35315,0.0,466.93967,239.01178,242.36339,525.93304,56.06245,123.95058,120.295166,0.0,523.00214,362.96237,362.65854,525.93304
0.0058,682.2418,662.2527,0.0,523.6841,258.22418,277.7701,558.6278,50.169456,144.99884,108.01804,0.0,573.8535,403.22302,385.78815,558.6278
0.006,695.62195,678.1071,0.0,570.90576,276.53745,309.52975,584.74976,44.44805,160.92998,96.119995,0.0,615.3538,437.46744,405.64975,584.74976
0.0062,703.5522,688.6517,0.0,608.2983,292.55576,336.59445,603.63525,38.917297,172.45988,84.63636,0.0,647.2156,465.01566,421.2308,603.63525
0.0064,705.97046,693.7256,0.0,639.4718,304.12503,358.9889,616.3823,33.23101,183.18715,72.802704,0.0,672.7028,487.3122,431.7916,616.3823
0.0066,702.9388,693.54834,0.0,666.36176,312.15616,375.9682,628.3949,29.169716,193.67824,64.49776,0.0,695.5315,505.83438,440.46597,628.3949
0.0068,694.63684,688.2412,0.0,691.4225,315.86307,388.38443,639.9848,26.19143,205.95282,58.53599,0.0,717.61395,521.8159,446.92044,639.9848
0.007,681.36664,677.86896,0.0,721.37915,303.78812,392.94928,647.52277,22.126024,231.64192,50.167362,0.0,743.5051,535.43005,443.11664,647.52277
0.0072,663.5668,662.60846,0.0,747.65924,292.4861,400.13644,646.59174,15.1064,254.60898,35.329384,0.0,762.7657,547.0951,435.46582,646.59174
0.0074,641.8414,642.77124,0.0,767.0066,291.88104,417.21524,635.2851,3.7272625,266.3319,10.926419,0.0,770.7339,558.21295,428.14166,635.2851
0.0076,616.6174,618.81274,0.0,784.53674,293.07303,438.0732,617.4523,10.480796,275.79657,0.0,26.252392,774.05597,568.8696,438.0732,643.70465
0.0078,588.0473,591.2724,0.0,802.3724,285.09598,451.8076,598.9921,23.667,291.5396,0.0,55.433033,778.7054,576.6356,451.8076,654.4252
0.008,556.4914,560.6846,0.0,817.1567,270.13647,457.51575,580.85254,34.5947,310.08566,0.0,79.660706,782.56195,580.22217,457.51575,660.51324
0.0082,522.4707,527.559,0.0,824.31793,255.48067,459.12204,561.45386,43.6452,323.85858,0.0,99.76767,780.6728,579.3393,459.12204,661.22156
0.0084,486.54413,492.39816,0.0,823.2259,242.94733,458.2872,539.777,51.385155,331.27872,0.0,116.9911,771.84076,574.226,458.2872,656.76807
0.0086,449.26596,455.71222,0.0,816.5198,229.28247,454.13974,515.6393,58.27254,336.09155,0.0,132.32455,758.2472,565.374,454.13974,647.96387
0.0088,411.19647,418.02228,0.0,806.3553,212.27829,446.43356,488.68353,64.84702,341.0555,0.0,146.9488,741.50824,553.3338,446.43356,635.6323
0.009,372.89404,379.85648,0.0,792.8069,192.94916,436.39743,458.2979,71.59286,345.54678,0.0,161.91066,721.21405,538.496,436.39743,620.20856
0.0092,334.8853,341.74185,0.0,775.11597,173.00162,425.05743,424.2965,78.6147,347.97684,0.0,177.43828,696.5012,520.97845,425.05743,601.7348
0.0094,297.64688,304.19028,0.0,753.0578,152.6165,412.15955,387.18576,85.62638,348.094,0.0,192.90596,667.4314,500.7105,412.15955,580.09174
0.0096,261.61026,267.68182,0.0,726.93994,131.03668,396.89203,347.69647,92.262,346.58524,0.0,207.51424,634.6779,477.6219,396.89203,555.2107
0.0098,227.16919,232.65082,0.0,696.978,108.01826,378.94962,306.29532,98.330345,343.74097,0.0,220.8482,598.64764,451.75922,378.94962,527.14355
0.01,194.67444,199.47787,0.0,663.1687,84.05913,358.6587,263.16266,103.82522,339.23004,0.0,232.88991,559.3435,423.28918,358.6587,496.05255
